Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
10:00:00,,,,,,,,,,,,,,-0.000233333,-0.003133333,-0.011833333,0.023766667,-0.017933333,0.030366667,-0.005433333,,,,,,0.000166667,0.002566667,0.004766667,0.030266667,0.019266667,0.035566667,-0.003933333,,,,,,0.000666667,0.002766667,0.005266667,0.040366667,0.026866667,0.038766667,-0.002133333,,,,,,0.000866667,0.015066667,0.002966667,0.002966667,0.020966667,-0.004033333,0.000766667,,,,,,-0.000233333,0.010766667,0.009066667,0.005266667,0.029266667,-0.001133333,0.001666667,,,,,,0.000666667,-0.034933333,0.004266667,0.005966667,0.029066667,0.002066667,-0.002433333,,,,,,,,,,,,,,,,
11:00:00,,,,,,,,,,,,,,0.0006,-0.0031,-0.0116,0.0445,0.0031,0.0536,-0.0056,,,,,,0.0015,0.0029,0.0054,0.0502,0.0301,0.0615,-0.0041,,,,,,0.0018,0.0033,0.0062,0.064,0.0432,0.0644,-0.0018,,,,,,0.0016,0.0235,0.0069,0.005,0.0323,-0.0036,0.0008,,,,,,0.0005,0.0179,0.0132,0.0072,0.043,-0.0008,0.0018,,,,,,0.0013,-0.0285,0.0068,0.0083,0.0452,0.0025,-0.0026,,,,,,,,,,,,,,,,
12:00:00,,,,,,,,,,,,,,0.001933333,-0.002666667,-0.011466667,0.076233333,0.037633333,0.087433333,-0.005766667,,,,,,0.002533333,0.003733333,0.006433333,0.080933333,0.044733333,0.097933333,-0.003966667,,,,,,0.003233333,0.003633333,0.007133333,0.100033333,0.066033333,0.099533333,-0.001866667,,,,,,0.002533333,0.033733333,0.012833333,0.007733333,0.048233333,-0.003066667,0.001033333,,,,,,0.001033333,0.027733333,0.019633333,0.009933333,0.062333333,-6.67E-05,0.001633333,,,,,,0.002133333,-0.019566667,0.010933333,0.012633333,0.067533333,0.003333333,-0.002666667,,,,,,,,,,,,,,,,
13:00:00,,,,,,,,,,,,,,0.004,-0.0026,-0.011,0.1246,0.0892,0.1336,-0.0062,,,,,,0.0044,0.0043,0.007,0.1266,0.0631,0.1482,-0.0041,,,,,,0.0055,0.0049,0.0084,0.1543,0.0953,0.1466,-0.0017,,,,,,0.0037,0.0479,0.0228,0.0114,0.0705,-0.0024,0.0009,,,,,,0.0022,0.0408,0.0294,0.0146,0.0882,0.0007,0.0017,,,,,,0.0027,-0.0064,0.0173,0.0196,0.0969,0.0038,-0.0026,,,,,,,,,,,,,,,,
14:00:00,,,,,,,,,,,,,,0.007,-0.0021,-0.0109,0.1927,0.1633,0.1939,-0.0064,,,,,,0.0073,0.0051,0.0078,0.1915,0.0851,0.2132,-0.004,,,,,,0.0084,0.0057,0.0095,0.2294,0.1305,0.2059,-0.0015,,,,,,0.0053,0.066,0.0388,0.0168,0.099,-0.002,0.0009,,,,,,0.0034,0.0584,0.0439,0.0205,0.1221,0.0015,0.0018,,,,,,0.0038,0.0133,0.0271,0.0304,0.1345,0.0048,-0.0027,,,,,,,,,,,,,,,,
15:00:00,,,,,,,,,,,,,,0.011133333,-0.001866667,-0.010566667,0.280033333,0.268533333,0.266333333,-0.003966667,,,,,,0.010633333,0.005633333,0.008633333,0.277533333,0.110633333,0.290533333,-0.004066667,,,,,,0.012333333,0.006633333,0.010833333,0.323433333,0.171133333,0.275633333,-0.001466667,,,,,,0.006333333,0.088533333,0.062033333,0.024933333,0.135033333,-0.001366667,0.000933333,,,,,,0.004033333,0.078533333,0.063833333,0.029533333,0.163933333,0.002233333,0.001633333,,,,,,0.004433333,0.036133333,0.040733333,0.045733333,0.177033333,0.005433333,-0.002566667,,,,,,,,,,,,,,,,
16:00:00,,,,,,,,,,,,,,0.016533333,-0.001766667,-0.010466667,0.375533333,0.418433333,0.350633333,-0.005166667,,,,,,0.015433333,0.006433333,0.009933333,0.375133333,0.139933333,0.380333333,-0.004266667,,,,,,0.017533333,0.007833333,0.011833333,0.425233333,0.218633333,0.355833333,-0.001366667,,,,,,0.007933333,0.115933333,0.093433333,0.036833333,0.179133333,-0.000566667,0.000833333,,,,,,0.005633333,0.103733333,0.092533333,0.042133333,0.212133333,0.003633333,0.001733333,,,,,,0.006033333,0.069333333,0.060033333,0.068033333,0.229033333,0.006433333,-0.002566667,,,,,,,,,,,,,,,,
17:00:00,,,,,,,,,,,,,,0.023866667,-0.001733333,-0.010533333,0.468366667,0.614366667,0.445766667,-0.005533333,,,,,,0.021366667,0.007366667,0.011466667,0.474266667,0.175466667,0.477666667,-0.004133333,,,,,,0.024166667,0.009466667,0.013666667,0.522666667,0.271966667,0.443266667,-0.001233333,,,,,,0.010166667,0.149066667,0.135466667,0.052666667,0.228966667,0.000766667,0.000966667,,,,,,0.007266667,0.134666667,0.131866667,0.059366667,0.266666667,0.005166667,0.001866667,,,,,,0.007266667,0.113166667,0.086266667,0.098266667,0.285766667,0.007866667,-0.002833333,,,,,,,,,,,,,,,,
18:00:00,,,,,,,,,,,,,,0.032233333,-0.001466667,-0.010566667,0.554933333,0.785933333,0.551033333,-0.006266667,,,,,,0.027933333,0.007833333,0.012633333,0.565933333,0.213333333,0.580233333,-0.004566667,,,,,,0.032333333,0.010133333,0.015933333,0.613733333,0.328733333,0.537233333,-0.001066667,,,,,,0.008033333,0.187333333,0.189233333,0.072133333,0.278933333,0.001533333,0.000833333,,,,,,0.008433333,0.168633333,0.180833333,0.081533333,0.320433333,0.006333333,0.001533333,,,,,,0.008833333,0.165733333,0.121033333,0.138733333,0.341233333,0.008833333,-0.002366667,,,,,,,,,,,,,,,,
19:00:00,,,,,,,,,,,,,,0.042233333,-0.001466667,-0.010466667,0.628533333,0.825433333,0.664633333,-0.006066667,,,,,,0.036333333,0.008933333,0.014633333,0.648433333,0.256733333,0.660733333,-0.004666667,,,,,,0.042333333,0.012333333,0.018433333,0.693333333,0.388533333,0.611833333,-0.000866667,,,,,,0.009733333,0.230533333,0.253733333,0.096733333,0.329833333,0.002833333,0.000633333,,,,,,0.010133333,0.205733333,0.239833333,0.110433333,0.374233333,0.007733333,0.001433333,,,,,,0.010833333,0.229033333,0.166933333,0.190433333,0.396433333,0.010633333,-0.002066667,,,,,,,,,,,,,,,,
20:00:00,,,,,,,,,,,,,,0.054466667,-0.001733333,-0.010733333,0.687366667,0.790966667,0.741866667,-0.008233333,,,,,,0.044866667,0.009866667,0.016766667,0.722366667,0.305766667,0.691266667,-0.005133333,,,,,,0.053566667,0.014466667,0.020666667,0.763566667,0.437166667,0.638966667,-0.001333333,,,,,,0.011666667,0.276266667,0.328266667,0.126766667,0.383466667,0.004366667,0.000466667,,,,,,0.012966667,0.247366667,0.309166667,0.145266667,0.426566667,0.009566667,0.001166667,,,,,,0.012366667,0.302766667,0.223066667,0.254666667,0.449366667,0.012166667,-0.001633333,,,,,,,,,,,,,,,,
21:00:00,,,,,,,,,,,,,,0.069633333,-0.001766667,-0.010666667,0.693433333,0.741133333,0.779333333,-0.009166667,,,,,,0.055033333,0.011933333,0.019133333,0.761333333,0.336733333,0.709933333,-0.005366667,,,,,,0.066633333,0.017033333,0.025233333,0.810933333,0.463433333,0.645033333,-0.000766667,,,,,,0.013933333,0.324833333,0.409433333,0.163333333,0.437933333,0.006133333,0.000533333,,,,,,0.015633333,0.293033333,0.385933333,0.185133333,0.475733333,0.011633333,0.001033333,,,,,,0.015133333,0.398533333,0.288933333,0.329633333,0.501533333,0.014933333,-0.001566667,,,,,,,,,,,,,,,,
21:59:59,,,,,,,,,,,,,,0.0894,-0.0014,-0.0107,0.6759,0.6704,0.8028,-0.0113,,,,,,0.066,0.0143,0.0229,0.7564,0.351,0.7351,-0.0054,,,,,,0.081,0.0204,0.0296,0.8104,0.4709,0.6505,-0.0004,,,,,,0.0163,0.3758,0.494,0.2051,0.4909,0.0083,0.0006,,,,,,0.0181,0.3456,0.4658,0.2311,0.5243,0.0141,0.001,,,,,,0.0176,0.5159,0.3637,0.4129,0.5529,0.0182,-0.0016,,,,,,,,,,,,,,,,
23:00:00,,,,,,,,,,,,,,0.119333333,-0.001266667,-0.010666667,0.669233333,0.527333333,0.812033333,-0.013166667,,,,,,0.077833333,0.017233333,0.024833333,0.751633333,0.365133333,0.764933333,-0.005766667,,,,,,0.096633333,0.022233333,0.034933333,0.800933333,0.474833333,0.671633333,0.000233333,,,,,,0.020033333,0.429533333,0.575033333,0.253733333,0.543833333,0.011033333,0.000733333,,,,,,0.021533333,0.404333333,0.545633333,0.281233333,0.573833333,0.017433333,0.001133333,,,,,,0.017733333,0.640433333,0.439633333,0.499633333,0.605333333,0.019733333,-0.001866667,,,,,,,,,,,,,,,,
1.00:00:00,,,,,,,,,,,,,,0.169433333,-0.001366667,-0.010766667,0.676633333,0.245333333,0.807733333,-0.016966667,,,,,,0.090833333,0.020833333,0.029033333,0.758533333,0.390733333,0.787933333,-0.006366667,,,,,,0.112733333,0.027833333,0.045833333,0.797333333,0.479533333,0.705633333,0.000233333,,,,,,0.021733333,0.486333333,0.649733333,0.307233333,0.597633333,0.014133333,0.000733333,,,,,,0.024333333,0.470833333,0.619933333,0.335933333,0.625233333,0.020733333,0.001333333,,,,,,0.020133333,0.741433333,0.513233333,0.583833333,0.664433333,0.021833333,-0.002066667,,,,,,,,,,,,,,,,
